text,question,answer
greeting: नमस्कार,नमस्कार,नमस्कार kec chatbot मा स्वागत छ। म तपाईलाई कसरी मद्दत् गर्नसक्छु?
greeting: नमस्कार,नमस्कार,नमस्कार kec chatbot मा स्वागत छ। म तपाईलाई कसरी मद्दत् गर्नसक्छु?
goodbye: Bye,Bye,हाम्रो च्याटबोट प्रयोग गर्नुभएकोमा धन्यवाद। हजुर को दिन राम्रो होस्।
location: यो कलेज कहाँ छ?,यो कलेज कहाँ छ?,"काठमाडौं इन्जिनियरिङ कलेज कालीमाटी, काठमाडौंमा अवस्थित छ। थप जानकारीको लागि कृपया Google Map प्रयोग गर्नुहोस्।"
aboutme: tapai ko ho?,tapai ko ho?,म काठमाडौं इन्जिनियरिङ कलेजका चौथो वर्षका विद्यार्थीहरूले तयार पारेको काठमाडौं इन्जिनियरिङको च्याटबोट हुँ।
faculty: faculty,faculty,"हामी KEC मा व्यावहारिक र सैद्धान्तिक ईन्जिनियरिङ् अध्ययनहरूमा ध्यान केन्द्रित गरी स्नातक डिग्री पाठ्यक्रमहरूको भरपर्दो छनोट प्रदान गर्दछौं: वास्तुकला, सिभिल इन्जिनियरिङ्, कम्प्युटर इन्जिनियरिङ्, इलेक्ट्रिकल इन्जिनियरिङ्, इलेक्ट्रोनिक्स र कम्युनिकेसन इन्जिनियरिङ् जस्तै विषयहरू पढाइन्छ।"
extracurriculumactivities: eca,eca,यहाँ धेरै अतिरिक्त पाठ्यक्रम गतिविधिहरू जस्तै DRISTI र अन्य धेरै कार्यक्रमहरू छन्। केईसीका विद्यार्थीहरूलाई अतिरिक्त योग कक्षाहरू पनि दिइन्छ।
collegetime: college time,college time,कलेजको समय बिहान ७:१५ बाट सुरु हुन्छ र सामान्यतया कलेजको दिनचर्या अनुसार ३ बजे समाप्त हुन्छ।
clubs: clubs,clubs,"काठमाडौं इन्जिनियरिङ कलेजमा म्युजिक क्लब, आईटी क्लब, आकार, रोबोटिक्स क्लब र अन्य धेरै क्लबहरू छन्।"
programs: programs,programs,"यहाँ धेरै कार्यक्रमहरू हुन्छन्, जस्तै स्वागत विदाई कार्यक्रम, खेल सप्ताह, सांगीतिक कार्यक्रम र अन्य धेरै।"
error: कलेजको समय कति ह,कलेजको समय कति ह,kec chatbot प्रयोग गर्नुभएकोमा धन्यवाद। कृपया सही प्रश्न सोध्नुहोस्।
computerengineeringseats: computer engineering seats,computer engineering seats,कम्प्युटर इन्जिनियरिङमा हरेक वर्ष ९६ सिट हुन्छन् ।
civilengineeringseats: civil engineering seats,civil engineering seats,सिभिल इन्जिनियरिङमा हरेक वर्ष ९६ सिट हुन्छन् ।
architectureseats: architecture seats,architecture seats,कलेजको समय बिहान ७:१५ बाट सुरु हुन्छ र सामान्यतया कलेजको दिनचर्या अनुसार ३ बजे समाप्त हुन्छ।
electronicsengineeringseats: electronics engineering seats,electronics engineering seats,इलेक्ट्रोनिक्स इन्जिनियरिङमा हरेक वर्ष ९६ सिट हुन्छन् ।
contactnumber: contact number,contact number,"काठमाडौं इन्जिनियरिङ कलेजको सम्पर्क नम्बर +९७७-०१-५३७२८३३, ५३७२६५३ हो।"
admissiondocuments: admission documents,admission documents,"आवेदकले निम्न सामग्रीहरू प्रदान गर्न आवश्यक छ:
• SLC, ISC, 10 2, I.E., A Level, र CBSE को लागि क्यारेक्टर सर्टिफिकेटहरू, मार्क पानाहरू, र ट्रान्सक्रिप्टहरू
• प्रत्येक अभिभावक वा अभिभावकको एउटा तस्बिर र दुई पासपोर्ट- विद्यार्थीको साइजको तस्बिरहरू।
• तिनीहरूको राहदानीको नक्कल
• माइग्रेसन प्रमाणपत्र; • जैविक वा भौतिक समूहका आवेदकहरूका लागि २००-अङ्कको गणित प्रमाणपत्र।
• IOE, Pulchowk, बाट मूल स्कोर कार्ड आवश्यक पर्छ भर्नाको लागि आवेदन गर्दा।"
other: other,other,कथप विवरणहरूको लागि कृपया एक पटक कलेजमा जानुहोस्।
diploma: diploma,diploma,काठमाडौं इन्जिनियरिङ कलेजमा डिप्लोमा कोर्स छैन।
computerhod: computer hod,computer hod,कम्प्युटर इन्जिनियरिङका एचओडी er.सुदीप शाक्य हुन् ।
electricalhod: electrical hod,electrical hod,इलेक्ट्रिकल इन्जिनियरिङ विभागका एचओडी er.बिनोद भण्डारी हुन् ।
civilhod: civil hod,civil hod,Er.अर्जुन पोडेल सिभिल इन्जिनियरिङका प्रमुख हुन् ।
electronicshod: electronics hod,electronics hod,er.सगुन मानन्दर इलेक्ट्रोनिक्स विभागका प्रमुख हुन् ।
architecturehod: architecture hod,architecture hod,Ar.कैलाश श्रेष्ठ आर्किटेक्चर विभागका प्रमुख हुन् ।
principal: principle,principle,er.हिरेन्द्रमान प्रधान काठमाडौं इन्जिनियरिङ कलेजका प्रधान अध्यापक हुन् ।
chairman: chairman,chairman,हिरेन्द्रमान प्रधान काठमाडौं इन्जिनियरिङ कलेजका अध्यक्ष हुन् ।
viceprincipal: vice principal,vice principal,Ar.शैलिता मानन्धर जोशी काठमाडौं इन्जिनियरिङ कलेजकी उपप्राचार्य हुन् ।
feestructure: fee,fee,काठमाडौं इन्जिनियरिङ कलेजमा हरेक वर्ष १० प्रतिशतले शुल्क वृद्धि हुने गरेको छ। तपाइँ कलेज भ्रमण गरेर शुल्क संरचना बारे थप जानकारी प्राप्त गर्न सक्नुहुन्छ।
scholarshipscheme: what is the scholarship scheme ?,what is the scholarship scheme ?,छात्रवृत्ति ioe प्रवेश श्रेणी अनुसार दिइन्छ। प्रत्येक विभागका तीन शीर्ष विद्यार्थीहरूलाई एक सेमेस्टर छात्रवृत्ति पनि दिइन्छ।
accomodationfacilities: accomodation facilities,accomodation facilities,kec मा पुरुस बिद्यार्थीका लागि कलेज छेउमा होस्टेलको सुभिधा प्राप्त गरिएको छ। 
collegedays: college days,college days,शनिबार र आइतबार बाहेक हप्तामा ५ दिन कक्षा हुनेछ ।
studentnumber: students number,students number,"हरेक वर्ष यहाँ कम्प्युटर, सिभिल र इलेक्ट्रोनिक्स इन्जिनियरिङका लागि ९६ सिट र आर्किटेक्चर र इलेक्ट्रिकल इन्जिनियरिङका लागि ४८ सिट हुन्छन् । कलेजमा प्रत्येक वर्ष कुल 384 नयाँ विद्यार्थीहरू हुन सक्छन्।"
teachernumber: teacher number,teacher number,"आर्किटेक्चरमा ९ शिक्षक, कम्प्युटरमा ११ शिक्षक, सिभिल विभागमा १३ शिक्षक, उपयोजित विज्ञानमा १२ शिक्षक, इलेक्ट्रोनिक्स विभागमा १३ र विद्युत् विभागमा ५ शिक्षक छन् । काठमाडौं इन्जिनियरिङ कलेजमा जम्मा ६३ जना शिक्षक छन् ।"
establish: establish date,establish date,काठमाडौं इन्जिनियरिङ कलेज सन् १९९८ मा सुरु भएको र नेपालको पहिलो ISO: 9001:2008 प्रमाणित कलेज हो।
creator: creator,creator,"kecbot सेजल, स्वीकृति र श्रीजनाले मलाई २०८०मा कलेज प्रोजेक्टका लागि बनाएका हुन् ।"
building: building,building,"kecमा  A, B, C, D, E, F block गरेर ६ ओटा buildings छन् |"
library: library,library,kecको library block F मा छ। libraryबाट हरेक सेमेस्टरको आवोस्यक पुस्तकहरु लिन सकिन्छ। पुस्तक लिनका लागि libraryको मेम्बरसिप कार्ड चाहिन्छ। 
resources: wifi,wifi,"{'text': 'kecमा wifi, lab जस्ता सुभिदा हरु छन्। चाहिने ल्याब जस्तै कम्प्युटर ल्याब,फिजिक्स ल्याब,वोर्कसप ल्याब,केमेस्त्री ल्याब,मसिन ल्याब छन्। ल्याबमा आवस्यक सबै साधन, सोफटवेरहरु उपलब्द छन्। ', 'image': '/building.jpeg'}"
